% AB mag
% 1.2
% WD model 18000K log g=8 FUV=18.5mag
1000.000000 21.071355
1000.101954 21.072692
1000.203908 21.074221
1000.305862 21.075975
1000.407816 21.077985
1000.509771 21.080275
1000.611725 21.082866
1000.713679 21.085765
1000.815633 21.088976
1000.917587 21.092485
1001.019541 21.096278
1001.121495 21.100329
1001.223449 21.104607
1001.325404 21.109086
1001.427358 21.113737
1001.529312 21.118533
1001.631266 21.123457
1001.733220 21.128493
1001.835174 21.133637
1001.937128 21.138891
1002.039082 21.144258
1002.141037 21.149750
1002.242991 21.155382
1002.344945 21.161172
1002.446899 21.167130
1002.548853 21.173274
1002.650807 21.179611
1002.752761 21.186148
1002.854715 21.192894
1002.956669 21.199845
1003.058624 21.207009
1003.160578 21.214376
1003.262532 21.221949
1003.364486 21.229722
1003.466440 21.237698
1003.568394 21.245866
1003.670348 21.254234
1003.772302 21.262796
1003.874257 21.271552
1003.976211 21.280508
1004.078165 21.289654
1004.180119 21.298994
1004.282073 21.308524
1004.384027 21.318244
1004.485981 21.328147
1004.587935 21.338233
1004.689890 21.348501
1004.791844 21.358942
1004.893798 21.369556
1004.995752 21.380340
1005.097706 21.391295
1005.199660 21.402418
1005.301614 21.413708
1005.403568 21.425164
1005.505523 21.436787
1005.607477 21.448576
1005.709431 21.460535
1005.811385 21.472658
1005.913339 21.484952
1006.015293 21.497411
1006.117247 21.510041
1006.219201 21.522837
1006.321155 21.535799
1006.423110 21.548931
1006.525064 21.562230
1006.627018 21.575695
1006.728972 21.589321
1006.830926 21.603114
1006.932880 21.617071
1007.034834 21.631189
1007.136788 21.645471
1007.238743 21.659912
1007.340697 21.674511
1007.442651 21.689277
1007.544605 21.704199
1007.646559 21.719286
1007.748513 21.734527
1007.850467 21.749925
1007.952421 21.765469
1008.054376 21.781156
1008.156330 21.796984
1008.258284 21.812940
1008.360238 21.829014
1008.462192 21.845209
1008.564146 21.861510
1008.666100 21.877917
1008.768054 21.894432
1008.870008 21.911049
1008.971963 21.927776
1009.073917 21.944619
1009.175871 21.961580
1009.277825 21.978673
1009.379779 21.995906
1009.481733 22.013274
1009.583687 22.030793
1009.685641 22.048467
1009.787596 22.066283
1009.889550 22.084237
1009.991504 22.102324
1010.093458 22.120525
1010.195412 22.138839
1010.297366 22.157237
1010.399320 22.175726
1010.501274 22.194289
1010.603229 22.212917
1010.705183 22.231623
1010.807137 22.250389
1010.909091 22.269238
1011.011045 22.288176
1011.112999 22.307194
1011.214953 22.326307
1011.316907 22.345504
1011.418862 22.364794
1011.520816 22.384174
1011.622770 22.403635
1011.724724 22.423174
1011.826678 22.442778
1011.928632 22.462446
1012.030586 22.482182
1012.132540 22.501976
1012.234494 22.521811
1012.336449 22.541694
1012.438403 22.561621
1012.540357 22.581569
1012.642311 22.601549
1012.744265 22.621549
1012.846219 22.641562
1012.948173 22.661586
1013.050127 22.681617
1013.152082 22.701652
1013.254036 22.721689
1013.355990 22.741732
1013.457944 22.761776
1013.559898 22.781822
1013.661852 22.801867
1013.763806 22.821910
1013.865760 22.841942
1013.967715 22.861962
1014.069669 22.881962
1014.171623 22.901934
1014.273577 22.921874
1014.375531 22.941779
1014.477485 22.961642
1014.579439 22.981462
1014.681393 23.001235
1014.783347 23.020964
1014.885302 23.040641
1014.987256 23.060269
1015.089210 23.079843
1015.191164 23.099359
1015.293118 23.118815
1015.395072 23.138208
1015.497026 23.157533
1015.598980 23.176787
1015.700935 23.195969
1015.802889 23.215081
1015.904843 23.234121
1016.006797 23.253087
