    WAVE        YPOS          DISPERSION  SLIT WIDTH RESOLUTION
    (nm)        (mm)          (nm/pix)    (pix)
    115.0000    -20.2601      0.0368      2.0000   1563.3389
    116.0000    -19.9882      0.0368      2.0000   1576.7988
    117.0000    -19.7164      0.0368      2.0000   1590.2558
    118.0000    -19.4445      0.0368      2.0000   1603.7100
    119.0000    -19.1727      0.0368      2.0000   1617.1614
    120.0000    -18.9009      0.0368      2.0000   1630.6098
    121.0000    -18.6292      0.0368      2.0000   1644.0554
    122.0000    -18.3574      0.0368      2.0000   1657.4980
    123.0000    -18.0857      0.0368      2.0000   1670.9378
    124.0000    -17.8140      0.0368      2.0000   1684.3745
    125.0000    -17.5423      0.0368      2.0000   1697.8084
    126.0000    -17.2707      0.0368      2.0000   1711.2392
    127.0000    -16.9991      0.0368      2.0000   1724.6671
    128.0000    -16.7275      0.0368      2.0000   1738.0919
    129.0000    -16.4559      0.0368      2.0000   1751.5138
    130.0000    -16.1843      0.0368      2.0000   1764.9326
    131.0000    -15.9128      0.0368      2.0000   1778.3483
    132.0000    -15.6413      0.0368      2.0000   1791.7610
    133.0000    -15.3698      0.0368      2.0000   1805.1706
    134.0000    -15.0984      0.0368      2.0000   1818.5771
    135.0000    -14.8269      0.0368      2.0000   1831.9805
    136.0000    -14.5555      0.0368      2.0000   1845.3808
    137.0000    -14.2841      0.0369      2.0000   1858.7779
    138.0000    -14.0128      0.0369      2.0000   1872.1719
    139.0000    -13.7415      0.0369      2.0000   1885.5627
    140.0000    -13.4702      0.0369      2.0000   1898.9503
    141.0000    -13.1989      0.0369      2.0000   1912.3346
    142.0000    -12.9276      0.0369      2.0000   1925.7158
    143.0000    -12.6564      0.0369      2.0000   1939.0937
    144.0000    -12.3852      0.0369      2.0000   1952.4684
    145.0000    -12.1140      0.0369      2.0000   1965.8397
    146.0000    -11.8429      0.0369      2.0000   1979.2078
    147.0000    -11.5717      0.0369      2.0000   1992.5726
    148.0000    -11.3006      0.0369      2.0000   2005.9341
    149.0000    -11.0296      0.0369      2.0000   2019.2922
    150.0000    -10.7585      0.0369      2.0000   2032.6469
    151.0000    -10.4875      0.0369      2.0000   2045.9983
    152.0000    -10.2165      0.0369      2.0000   2059.3463
    153.0000     -9.9455      0.0369      2.0000   2072.6909
    154.0000     -9.6746      0.0369      2.0000   2086.0321
    155.0000     -9.4037      0.0369      2.0000   2099.3698
    156.0000     -9.1328      0.0369      2.0000   2112.7040
    157.0000     -8.8619      0.0369      2.0000   2126.0348
    158.0000     -8.5911      0.0369      2.0000   2139.3621
    159.0000     -8.3203      0.0369      2.0000   2152.6858
    160.0000     -8.0495      0.0369      2.0000   2166.0061
    161.0000     -7.7788      0.0369      2.0000   2179.3228
    162.0000     -7.5081      0.0369      2.0000   2192.6359
    163.0000     -7.2374      0.0369      2.0000   2205.9454
    164.0000     -6.9667      0.0369      2.0000   2219.2514
    165.0000     -6.6961      0.0370      2.0000   2232.5537
    166.0000     -6.4254      0.0370      2.0000   2245.8524
    167.0000     -6.1549      0.0370      2.0000   2259.1474
    168.0000     -5.8843      0.0370      2.0000   2272.4388
    169.0000     -5.6138      0.0370      2.0000   2285.7264
    170.0000     -5.3433      0.0370      2.0000   2299.0104
    171.0000     -5.0728      0.0370      2.0000   2312.2906
    172.0000     -4.8024      0.0370      2.0000   2325.5671
    173.0000     -4.5319      0.0370      2.0000   2338.8399
    174.0000     -4.2616      0.0370      2.0000   2352.1088
    175.0000     -3.9912      0.0370      2.0000   2365.3739
    176.0000     -3.7209      0.0370      2.0000   2378.6353
    177.0000     -3.4506      0.0370      2.0000   2391.8928
    178.0000     -3.1803      0.0370      2.0000   2405.1464
    179.0000     -2.9101      0.0370      2.0000   2418.3962
    180.0000     -2.6398      0.0370      2.0000   2431.6420
    181.0000     -2.3697      0.0370      2.0000   2444.8840
    182.0000     -2.0995      0.0370      2.0000   2458.1220
    183.0000     -1.8294      0.0370      2.0000   2471.3561
    184.0000     -1.5593      0.0370      2.0000   2484.5862
    185.0000     -1.2892      0.0370      2.0000   2497.8123
    186.0000     -1.0192      0.0370      2.0000   2511.0344
    187.0000     -0.7492      0.0370      2.0000   2524.2525
    188.0000     -0.4792      0.0370      2.0000   2537.4665
    189.0000     -0.2093      0.0370      2.0000   2550.6764
    190.0000      0.0606      0.0371      2.0000   2563.8823
    191.0000      0.3305      0.0371      2.0000   2577.0841
    192.0000      0.6004      0.0371      2.0000   2590.2817
    193.0000      0.8702      0.0371      2.0000   2603.4752
    194.0000      1.1400      0.0371      2.0000   2616.6645
    195.0000      1.4097      0.0371      2.0000   2629.8497
    196.0000      1.6795      0.0371      2.0000   2643.0306
    197.0000      1.9492      0.0371      2.0000   2656.2073
    198.0000      2.2188      0.0371      2.0000   2669.3798
    199.0000      2.4885      0.0371      2.0000   2682.5479
    200.0000      2.7581      0.0371      2.0000   2695.7118
    201.0000      3.0276      0.0371      2.0000   2708.8714
    202.0000      3.2972      0.0371      2.0000   2722.0267
    203.0000      3.5667      0.0371      2.0000   2735.1776
    204.0000      3.8362      0.0371      2.0000   2748.3242
    205.0000      4.1056      0.0371      2.0000   2761.4663
    206.0000      4.3750      0.0371      2.0000   2774.6040
    207.0000      4.6444      0.0371      2.0000   2787.7373
    208.0000      4.9137      0.0371      2.0000   2800.8662
    209.0000      5.1831      0.0371      2.0000   2813.9906
    210.0000      5.4523      0.0371      2.0000   2827.1104
    211.0000      5.7216      0.0371      2.0000   2840.2258
    212.0000      5.9908      0.0371      2.0000   2853.3366
    213.0000      6.2600      0.0372      2.0000   2866.4429
    214.0000      6.5291      0.0372      2.0000   2879.5445
    215.0000      6.7983      0.0372      2.0000   2892.6416
    216.0000      7.0673      0.0372      2.0000   2905.7340
    217.0000      7.3364      0.0372      2.0000   2918.8218
    218.0000      7.6054      0.0372      2.0000   2931.9049
    219.0000      7.8744      0.0372      2.0000   2944.9833
    220.0000      8.1433      0.0372      2.0000   2958.0570
    221.0000      8.4122      0.0372      2.0000   2971.1260
    222.0000      8.6811      0.0372      2.0000   2984.1902
    223.0000      8.9500      0.0372      2.0000   2997.2496
    224.0000      9.2188      0.0372      2.0000   3010.3042
    225.0000      9.4876      0.0372      2.0000   3023.3540
    226.0000      9.7563      0.0372      2.0000   3036.3989
    227.0000     10.0250      0.0372      2.0000   3049.4390
    228.0000     10.2937      0.0372      2.0000   3062.4741
    229.0000     10.5623      0.0372      2.0000   3075.5043
    230.0000     10.8309      0.0372      2.0000   3088.5296
    231.0000     11.0995      0.0372      2.0000   3101.5499
    232.0000     11.3680      0.0372      2.0000   3114.5653
    233.0000     11.6365      0.0372      2.0000   3127.5756
    234.0000     11.9050      0.0373      2.0000   3140.5809
    235.0000     12.1734      0.0373      2.0000   3153.5811
    236.0000     12.4418      0.0373      2.0000   3166.5762
    237.0000     12.7102      0.0373      2.0000   3179.5662
    238.0000     12.9785      0.0373      2.0000   3192.5511
    239.0000     13.2468      0.0373      2.0000   3205.5308
    240.0000     13.5150      0.0373      2.0000   3218.5054
    241.0000     13.7832      0.0373      2.0000   3231.4747
    242.0000     14.0514      0.0373      2.0000   3244.4388
    243.0000     14.3195      0.0373      2.0000   3257.3977
    244.0000     14.5876      0.0373      2.0000   3270.3512
    245.0000     14.8557      0.0373      2.0000   3283.2995
    246.0000     15.1237      0.0373      2.0000   3296.2424
    247.0000     15.3917      0.0373      2.0000   3309.1800
    248.0000     15.6596      0.0373      2.0000   3322.1122
    249.0000     15.9275      0.0373      2.0000   3335.0390
    250.0000     16.1954      0.0373      2.0000   3347.9604
    251.0000     16.4633      0.0373      2.0000   3360.8763
    252.0000     16.7311      0.0373      2.0000   3373.7867
    253.0000     16.9988      0.0374      2.0000   3386.6916
    254.0000     17.2665      0.0374      2.0000   3399.5910
    255.0000     17.5342      0.0374      2.0000   3412.4848
    256.0000     17.8019      0.0374      2.0000   3425.3730
    257.0000     18.0695      0.0374      2.0000   3438.2557
    258.0000     18.3370      0.0374      2.0000   3451.1327
    259.0000     18.6046      0.0374      2.0000   3464.0040
    260.0000     18.8721      0.0374      2.0000   3476.8696
    261.0000     19.1395      0.0374      2.0000   3489.7295
    262.0000     19.4069      0.0374      2.0000   3502.5837
    263.0000     19.6743      0.0374      2.0000   3515.4321
    264.0000     19.9416      0.0374      2.0000   3528.2747
    265.0000     20.2089      0.0374      2.0000   3541.1115
